split,sample_id,signer_id,label,take,frames
train,S001_36_003,S001,ㅟ,3,8
train,S001_36_010,S001,ㅟ,10,10
train,S001_36_006,S001,ㅟ,6,12
train,S001_36_004,S001,ㅟ,4,12
train,S001_36_005,S001,ㅟ,5,12
val,S001_01_003,S001,ㄱ,3,12
val,S001_02_011,S001,ㄴ,11,12
val,S001_03_006,S001,ㄷ,6,12
val,S001_04_008,S001,ㄹ,8,12
val,S001_05_007,S001,ㅁ,7,12
val,S001_06_007,S001,ㅂ,7,12
val,S001_07_006,S001,ㅅ,6,10
val,S001_08_001,S001,ㅇ,1,10
val,S001_09_009,S001,ㅈ,9,9
val,S001_10_009,S001,ㅊ,9,10
val,S001_11_006,S001,ㅋ,6,12
val,S001_12_001,S001,ㅌ,1,12
val,S001_13_010,S001,ㅍ,10,12
val,S001_14_004,S001,ㅎ,4,8
val,S001_20_010,S001,ㅏ,10,12
val,S001_21_006,S001,ㅑ,6,12
val,S001_22_004,S001,ㅓ,4,12
val,S001_23_005,S001,ㅕ,5,12
val,S001_24_008,S001,ㅗ,8,12
val,S001_25_006,S001,ㅛ,6,12
val,S001_26_005,S001,ㅜ,5,12
val,S001_27_001,S001,ㅠ,1,12
val,S001_28_008,S001,ㅡ,8,12
val,S001_29_007,S001,ㅣ,7,12
val,S001_30_001,S001,ㅐ,1,12
val,S001_31_005,S001,ㅒ,5,12
val,S001_32_002,S001,ㅔ,2,12
val,S001_33_007,S001,ㅖ,7,12
val,S001_34_006,S001,ㅢ,6,12
val,S001_35_009,S001,ㅚ,9,12
val,S001_36_011,S001,ㅟ,11,12
test,S001_01_008,S001,ㄱ,8,12
test,S001_01_004,S001,ㄱ,4,12
test,S001_02_003,S001,ㄴ,3,12
test,S001_02_015,S001,ㄴ,15,12
test,S001_03_009,S001,ㄷ,9,12
test,S001_03_008,S001,ㄷ,8,12
test,S001_04_005,S001,ㄹ,5,12
test,S001_04_009,S001,ㄹ,9,12
test,S001_05_006,S001,ㅁ,6,7
test,S001_05_010,S001,ㅁ,10,12
test,S001_06_005,S001,ㅂ,5,12
test,S001_06_009,S001,ㅂ,9,12
test,S001_07_001,S001,ㅅ,1,9
test,S001_07_005,S001,ㅅ,5,8
test,S001_08_003,S001,ㅇ,3,10
test,S001_08_010,S001,ㅇ,10,12
test,S001_09_010,S001,ㅈ,10,12
test,S001_09_008,S001,ㅈ,8,12
test,S001_10_004,S001,ㅊ,4,12
test,S001_10_006,S001,ㅊ,6,12
test,S001_11_001,S001,ㅋ,1,10
test,S001_11_004,S001,ㅋ,4,12
test,S001_12_008,S001,ㅌ,8,11
test,S001_12_003,S001,ㅌ,3,12
test,S001_13_005,S001,ㅍ,5,12
test,S001_13_008,S001,ㅍ,8,12
test,S001_14_007,S001,ㅎ,7,12
test,S001_14_002,S001,ㅎ,2,11
test,S001_20_009,S001,ㅏ,9,12
test,S001_20_006,S001,ㅏ,6,12
test,S001_21_008,S001,ㅑ,8,12
test,S001_21_010,S001,ㅑ,10,12
test,S001_22_005,S001,ㅓ,5,12
test,S001_22_006,S001,ㅓ,6,12
test,S001_23_001,S001,ㅕ,1,12
test,S001_23_010,S001,ㅕ,10,12
test,S001_24_001,S001,ㅗ,1,12
test,S001_24_002,S001,ㅗ,2,12
test,S001_25_008,S001,ㅛ,8,12
test,S001_25_005,S001,ㅛ,5,12
test,S001_26_010,S001,ㅜ,10,12
test,S001_26_008,S001,ㅜ,8,12
test,S001_27_010,S001,ㅠ,10,12
test,S001_27_002,S001,ㅠ,2,12
test,S001_28_010,S001,ㅡ,10,12
test,S001_28_005,S001,ㅡ,5,12
test,S001_29_009,S001,ㅣ,9,12
test,S001_29_005,S001,ㅣ,5,12
test,S001_30_006,S001,ㅐ,6,12
test,S001_30_005,S001,ㅐ,5,12
test,S001_31_007,S001,ㅒ,7,12
test,S001_31_003,S001,ㅒ,3,12
test,S001_32_008,S001,ㅔ,8,12
test,S001_32_005,S001,ㅔ,5,12
test,S001_33_010,S001,ㅖ,10,12
test,S001_33_006,S001,ㅖ,6,12
test,S001_34_004,S001,ㅢ,4,12
test,S001_34_009,S001,ㅢ,9,12
test,S001_35_008,S001,ㅚ,8,12
test,S001_35_003,S001,ㅚ,3,12
test,S001_36_001,S001,ㅟ,1,12
test,S001_36_009,S001,ㅟ,9,12
